"","organism","TaxID","subgroup","level","RefSeq.FTP"
"5436","Pararheinheimera texasensis DSM 17496",1123055,"Gammaproteobacteria","SAMN02745773","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/711/985/GCA_000711985.1_ASM71198v1"
"3105","Novosphingobium tardaugens NBRC 16725",1219035,"Alphaproteobacteria","SAMD00041832","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/945/GCA_000466945.1_ASM46694v1"
"3105.1","Novosphingobium tardaugens NBRC 16725",1219035,"Alphaproteobacteria","SAMD00041832","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/945/GCA_000466945.1_ASM46694v1"
"38454","Comamonas sp. SCN 65-56",1660095,"Betaproteobacteria","SAMN03652438","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/724/135/GCA_001724135.1_ASM172413v1"
"6076","Comamonadaceae bacterium A1",1458425,"Betaproteobacteria","SAMD00000325","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/895/GCA_000828895.1_ASM82889v1"
"1","Pseudomonas aeruginosa PAO1",208964,"Gammaproteobacteria","SAMN02603714","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1"
"4003","Grimontia indica",1056512,"Gammaproteobacteria","SAMN01940370","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/333/895/GCA_000333895.2_ASM33389v2"
"3057","Pseudomonas plecoglossicida",70775,"Gammaproteobacteria","SAMN03256214","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/585/GCA_000831585.1_ASM83158v1"
"391","Marinobacter hydrocarbonoclasticus ATCC 49840",1163748,"Gammaproteobacteria","SAMEA2272383","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/615/GCA_000284615.1_ASM28461v1"
"9562","Pectobacterium parmentieri WPP163",561231,"Gammaproteobacteria","SAMN02598479","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/645/GCA_000024645.1_ASM2464v1"
"20728","Pectobacterium polaris",2042057,"Gammaproteobacteria","SAMN05853907","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/545/GCA_002288545.1_ASM228854v1"
"24485","Pseudomonas fluorescens F113",1114970,"Gammaproteobacteria","SAMN02604099","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/065/GCA_000237065.1_ASM23706v1"
"24683","Shewanella algidipiscicola",614070,"Gammaproteobacteria","SAMEA4591064","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/380/485/GCA_900380485.1_ERP106791_PRJEB24924"
"70","Vibrio parahaemolyticus RIMD 2210633",223926,"Gammaproteobacteria","SAMD00058707","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/095/GCA_000196095.1_ASM19609v1"
"1526","Aeromonas veronii B565",998088,"Gammaproteobacteria","SAMN02603940","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/115/GCA_000204115.1_ASM20411v1"
"783","Pectobacterium carotovorum subsp. carotovorum PC1",561230,"Gammaproteobacteria","SAMN02598478","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/605/GCA_000023605.1_ASM2360v1"
"14585","Kushneria marisflavi",157779,"Gammaproteobacteria","SAMN06765534","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/157/205/GCA_002157205.1_ASM215720v1"
"14","Legionella pneumophila subsp. pneumophila str. Philadelphia 1",272624,"Gammaproteobacteria","SAMN02603156","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/485/GCA_000008485.1_ASM848v1"
"24468","Shewanella spongiae",342950,"Gammaproteobacteria","SAMN10081109","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/676/335/GCA_003676335.1_ASM367633v1"
"3957","Desulfobulbus sp. ORNL",1986146,"delta/epsilon subdivisions","SAMN06909033","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/055/GCA_002952055.1_ASM295205v1"
"23157","Legionella taurinensis",70611,"Gammaproteobacteria","SAMN08935049","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/070/625/GCA_003070625.1_ASM307062v1"
"2503","Methylobacterium sp. 4-46",426117,"Alphaproteobacteria","SAMN00623053","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/365/GCA_000019365.1_ASM1936v1"
"42","Rhodopseudomonas palustris HaA2",316058,"Alphaproteobacteria","SAMN02598335","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/365/GCA_000013365.1_ASM1336v1"
"24396","Pseudoalteromonas profundi",1774956,"Gammaproteobacteria","SAMN10075489","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/591/235/GCA_003591235.1_ASM359123v1"
"32","Vibrio cholerae O1 biovar El Tor str. N16961",243277,"Gammaproteobacteria","SAMN02603969","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/745/GCA_000006745.1_ASM674v1"
"27500","Mesorhizobium sp. DCY119",2108445,"Alphaproteobacteria","SAMN09829652","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/590/645/GCA_003590645.1_ASM359064v1"
"1718","Pseudomonas pseudoalcaligenes CECT 5344",1182590,"Gammaproteobacteria","SAMEA4532340","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/075/GCA_000297075.2_Ppseudo_final"
"38300","Pusillimonas sp. L52-1-41",2026684,"Betaproteobacteria","SAMN07508357","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/585/905/GCA_003585905.1_ASM358590v1"
"35129","Alteromonas sp. RKMC-009",2267264,"Gammaproteobacteria","SAMN09630237","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/584/565/GCA_003584565.1_ASM358456v1"
"24355","Rhodocyclales bacterium GT-UBC",2316108,"Betaproteobacteria","SAMN09984824","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/583/745/GCA_003583745.1_ASM358374v1"
"39227","Achromobacter sp. K91",2292262,"Betaproteobacteria","SAMN09756994","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/205/GCA_003576205.1_ASM357620v1"
"36745","Pusillimonas sp. 17-4A",2026239,"Betaproteobacteria","SAMN07508113","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/595/GCA_003576595.1_ASM357659v1"
"24349","Oceanospirillales bacterium WDS2A16A",1853216,"Gammaproteobacteria","SAMN09665230","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/577/475/GCA_003577475.1_ASM357747v1"
"2086","Pseudomonas monteilii",76759,"Gammaproteobacteria","SAMN04158505","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/534/745/GCA_001534745.1_ASM153474v1"
"24510","Pseudomonas putida",303,"Gammaproteobacteria","SAMN03198226","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/615/GCA_000800615.1_PseuPA14H7"
"83","Vibrio harveyi",669,"Gammaproteobacteria","SAMN03075601","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/115/GCA_000770115.2_ASM77011v2"
"4267","Proteobacteria bacterium CAG:139",1262986,"environmental samples","SAMEA3138628","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/434/815/GCA_000434815.1_MGS139"
"162","Vibrio splendidus",29497,"Gammaproteobacteria","SAMN09659035","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/345/295/GCA_003345295.1_ASM334529v1"
"1034","Achromobacter xylosoxidans",85698,"Betaproteobacteria","SAMEA2517358","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/457/475/GCA_001457475.1_NCTC10807"
"24292","Arcobacter ellisii",913109,"delta/epsilon subdivisions","SAMN03737951","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/915/GCF_003544915.1_ASM354491v1"
"8","Vibrio vulnificus",672,"Gammaproteobacteria","SAMN04457466","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1"
"24289","Arcobacter suis CECT 7833",663365,"delta/epsilon subdivisions","SAMN03737957","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/815/GCF_003544815.1_ASM354481v1"
"512","Aeromonas hydrophila subsp. hydrophila ATCC 7966",380703,"Gammaproteobacteria","SAMN02604052","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/805/GCA_000014805.1_ASM1480v1"
"24290","Vibrio alfacsensis",1074311,"Gammaproteobacteria","SAMN09917449","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/875/GCA_003544875.1_ASM354487v1"
"24289.1","Arcobacter suis CECT 7833",663365,"delta/epsilon subdivisions","SAMN03737957","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/815/GCF_003544815.1_ASM354481v1"
"14121","Arcobacter marinus",505249,"delta/epsilon subdivisions","SAMN06295997","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/168/035/GCA_900168035.1_IMG-taxon_2703719342_annotated_assembly"
"18163","Lonsdalea britannica",1082704,"Gammaproteobacteria","SAMN07554530","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/985/GCA_003515985.1_ASM351598v1"
"24278","Pseudoalteromonas donghaensis",621376,"Gammaproteobacteria","SAMN09939547","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/515/105/GCA_003515105.1_ASM351510v1"
