Name,Taxon_ID,Accession_Number,Length
Pseudomonas arsenicoxydans,702115,WP_090181419.1,235
Pseudomonas arsenicoxydans,702115,WP_090177236.1,230
Kushneria avicenniae,402385,WP_090134273.1,197
Kushneria avicenniae,402385,WP_090133392.1,204
Kosakonia sp. S29,1855371,WP_090086328.1,232
Cohaesibacter marisflavi,655353,WP_090074999.1,163
Cohaesibacter marisflavi,655353,WP_090068069.1,198
Lutimaribacter saemankumensis,490829,WP_090026920.1,200
Halomonas saccharevitans,416872,WP_089850910.1,238
Halomonas muralis,119000,WP_089724855.1,259
Halomonas daqiaonensis,650850,WP_089709848.1,235
Halomonas arcis,416873,WP_089708523.1,205
Halomonas gudaonensis,376427,WP_089686271.1,232
Halomonas shengliensis,419597,WP_089677346.1,238
Shewanella algae,38313,OXR99160.1,235
Pseudomonas aeruginosa,287,OXR98790.1,237
Pseudomonas aeruginosa,287,OXR93490.1,237
Pseudomonas aeruginosa,287,OXR82926.1,237
Pseudomonas aeruginosa,287,OXR73860.1,237
Pseudomonas aeruginosa,287,OXR67983.1,237
Pseudomonas aeruginosa,287,OXR66260.1,237
Pseudomonas aeruginosa,287,OXR61756.1,237
Pseudomonas jessenii,77298,OXR37861.1,235
Pseudomonas umsongensis,198618,OXR33232.1,235
Pseudomonas jessenii,77298,OXR31897.1,230
Pseudomonas umsongensis,198618,OXR30820.1,231
Vibrio parahaemolyticus,670,ASO14427.1,227
Pectobacterium carotovorum,554,ASN84595.1,229
Vibrio vulnificus NBRC 15645 = ATCC 27562,1219061,ASM98243.1,245
Boseongicola aestuarii,1470561,SMX25501.1,209
Ruegeria arenilitoris,1173585,SMX34627.1,207
Pseudomonas aeruginosa,287,ASM86592.1,237
Pseudomonas,286,WP_089394285.1,233
Pseudomonas delhiensis,366289,WP_089393047.1,231
Pseudoalteromonas nigrifaciens,28109,WP_089368437.1,232
Pseudomonas segetis,298908,WP_089358889.1,229
Pseudoalteromonas espejiana,28107,WP_089348356.1,235
Azospirillum,191,WP_089290680.1,293
Tardiphaga sp. OK246,1855307,WP_089268235.1,332
Tardiphaga sp. OK246,1855307,WP_089264910.1,207
Tardiphaga sp. OK246,1855307,WP_089263700.1,266
Tistlia consotensis,1321365,WP_089229517.1,184
Sphingopyxis indica,436663,WP_089216866.1,213
Pseudoalteromonas nigrifaciens,28109,ASM54432.1,232
Pseudoalteromonas espejiana DSM 9414,1314869,ASM50800.1,216
Bosea sp. AS-1,2015316,WP_089174841.1,210
Bosea sp. AS-1,2015316,WP_089174273.1,246
Bosea sp. AS-1,2015316,WP_089174255.1,255
Azotobacter chroococcum,353,WP_089169400.1,219
Rhizobium/Agrobacterium group,227290,WP_089153251.1,204
Pseudomonas sp. LAMO17WK12:I7,1286367,SNY44754.1,230
Rhizobium sp. AN6A,1841611,SOD53298.1,201
Rhizobium sp. AN6A,1841611,SOD52282.1,221
Rhizobium sp. AN6A,1841611,SOD60378.1,202
Rhizobium sp. AN6A,1841611,SOD57569.1,204
Rhizobium sp. AN6A,1841611,SOD56457.1,179
Vibrio thalassae,1243014,SNX49522.1,236
Rhizobium sp. AN5,1855304,SOC91879.1,221
Rhizobium sp. AN5,1855304,SOC91195.1,201
Rhizobium sp. AN5,1855304,SOC94444.1,179
Rhizobium sp. AN5,1855304,SOC93787.1,202
Rhizobium sp. AN5,1855304,SOC92305.1,204
Cohaesibacter gelatinilyticus,372072,SNZ08486.1,202
Cohaesibacter gelatinilyticus,372072,SNZ06926.1,197
Ensifer adhaerens,106592,SOC82220.1,223
Ensifer adhaerens,106592,SOC81973.1,198
