"","organism","TaxID","subgroup","level","RefSeq.FTP","tbl","prt"
"29116","Aeromonas salmonicida",645,"Gammaproteobacteria","SAMN06812489","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/180/335/GCA_002180335.1_ASM218033v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/180/335/GCA_002180335.1_ASM218033v1/GCA_002180335.1_ASM218033v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/180/335/GCA_002180335.1_ASM218033v1/GCA_002180335.1_ASM218033v1_protein.faa.gz"
"30798","Comamonas sp. 26",2035201,"Betaproteobacteria","SAMN07626132","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/754/475/GCA_002754475.1_ASM275447v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/754/475/GCA_002754475.1_ASM275447v1/GCA_002754475.1_ASM275447v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/754/475/GCA_002754475.1_ASM275447v1/GCA_002754475.1_ASM275447v1_protein.faa.gz"
"38215","Marinobacter sp. PWS21",2033727,"Gammaproteobacteria","SAMN07602843","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/744/715/GCA_002744715.1_ASM274471v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/744/715/GCA_002744715.1_ASM274471v1/GCA_002744715.1_ASM274471v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/744/715/GCA_002744715.1_ASM274471v1/GCA_002744715.1_ASM274471v1_protein.faa.gz"
"28642","Desulfobulbus propionicus",894,"delta/epsilon subdivisions","SAMN07757563","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/746/685/GCA_002746685.1_ASM274668v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/746/685/GCA_002746685.1_ASM274668v1/GCA_002746685.1_ASM274668v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/746/685/GCA_002746685.1_ASM274668v1/GCA_002746685.1_ASM274668v1_protein.faa.gz"
"28402","Sulfuricurvum kujiense",148813,"delta/epsilon subdivisions","SAMN07280044","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/742/695/GCA_002742695.1_ASM274269v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/742/695/GCA_002742695.1_ASM274269v1/GCA_002742695.1_ASM274269v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/742/695/GCA_002742695.1_ASM274269v1/GCA_002742695.1_ASM274269v1_protein.faa.gz"
"1435","Aeromonas caviae",648,"Gammaproteobacteria","SAMN02934523","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/775/GCA_000783775.2_ASM78377v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/775/GCA_000783775.2_ASM78377v2/GCA_000783775.2_ASM78377v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/775/GCA_000783775.2_ASM78377v2/GCA_000783775.2_ASM78377v2_protein.faa.gz"
"24510","Pseudomonas putida",303,"Gammaproteobacteria","SAMN03198226","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/615/GCA_000800615.1_PseuPA14H7","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/615/GCA_000800615.1_PseuPA14H7/GCA_000800615.1_PseuPA14H7_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/615/GCA_000800615.1_PseuPA14H7/GCA_000800615.1_PseuPA14H7_protein.faa.gz"
"28902","Chromobacterium violaceum",536,"Betaproteobacteria","SAMN07775572","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/735/945/GCA_002735945.1_ASM273594v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/735/945/GCA_002735945.1_ASM273594v1/GCA_002735945.1_ASM273594v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/735/945/GCA_002735945.1_ASM273594v1/GCA_002735945.1_ASM273594v1_protein.faa.gz"
"4498","Aeromonas dhakensis",196024,"Gammaproteobacteria","SAMN07577462","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/935/GCA_002285935.1_ASM228593v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/935/GCA_002285935.1_ASM228593v1/GCA_002285935.1_ASM228593v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/935/GCA_002285935.1_ASM228593v1/GCA_002285935.1_ASM228593v1_protein.faa.gz"
"27516","Sulfurimonas sp.",2022749,"delta/epsilon subdivisions","SAMN07569009","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/732/525/GCA_002732525.1_ASM273252v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/732/525/GCA_002732525.1_ASM273252v1/GCA_002732525.1_ASM273252v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/732/525/GCA_002732525.1_ASM273252v1/GCA_002732525.1_ASM273252v1_protein.faa.gz"
"27501","Methylophaga sp.",2024840,"Gammaproteobacteria","SAMN07619463","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/692/615/GCA_002692615.1_ASM269261v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/692/615/GCA_002692615.1_ASM269261v1/GCA_002692615.1_ASM269261v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/692/615/GCA_002692615.1_ASM269261v1/GCA_002692615.1_ASM269261v1_protein.faa.gz"
"21469","Kangiella sp.",1920245,"Gammaproteobacteria","SAMN07568870","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/465/GCA_002733465.1_ASM273346v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/465/GCA_002733465.1_ASM273346v1/GCA_002733465.1_ASM273346v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/465/GCA_002733465.1_ASM273346v1/GCA_002733465.1_ASM273346v1_protein.faa.gz"
"9053","Oceanobacter sp.",2030817,"Gammaproteobacteria","SAMN07568852","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/645/GCA_002733645.1_ASM273364v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/645/GCA_002733645.1_ASM273364v1/GCA_002733645.1_ASM273364v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/645/GCA_002733645.1_ASM273364v1/GCA_002733645.1_ASM273364v1_protein.faa.gz"
"27682","Arcobacter sp.",1872629,"delta/epsilon subdivisions","SAMN07618369","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/684/455/GCA_002684455.1_ASM268445v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/684/455/GCA_002684455.1_ASM268445v1/GCA_002684455.1_ASM268445v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/684/455/GCA_002684455.1_ASM268445v1/GCA_002684455.1_ASM268445v1_protein.faa.gz"
"39409","Cycloclasticus sp.",2024830,"Gammaproteobacteria","SAMN07618610","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/700/385/GCA_002700385.1_ASM270038v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/700/385/GCA_002700385.1_ASM270038v1/GCA_002700385.1_ASM270038v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/700/385/GCA_002700385.1_ASM270038v1/GCA_002700385.1_ASM270038v1_protein.faa.gz"
"21455","Desulfotalea sp.",2030813,"delta/epsilon subdivisions","SAMN07568820","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/995/GCA_002733995.1_ASM273399v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/995/GCA_002733995.1_ASM273399v1/GCA_002733995.1_ASM273399v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/733/995/GCA_002733995.1_ASM273399v1/GCA_002733995.1_ASM273399v1_protein.faa.gz"
"21451","Thalassobium sp.",2030825,"Alphaproteobacteria","SAMN07568948","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/732/825/GCA_002732825.1_ASM273282v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/732/825/GCA_002732825.1_ASM273282v1/GCA_002732825.1_ASM273282v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/732/825/GCA_002732825.1_ASM273282v1/GCA_002732825.1_ASM273282v1_protein.faa.gz"
"5736","Sulfuricurvum sp. PD_MW2",2027917,"delta/epsilon subdivisions","SAMN07462395","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/633/015/GCA_002633015.1_ASM263301v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/633/015/GCA_002633015.1_ASM263301v1/GCA_002633015.1_ASM263301v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/633/015/GCA_002633015.1_ASM263301v1/GCA_002633015.1_ASM263301v1_protein.faa.gz"
"3040","Aeromonas sp. CU5",2033033,"Gammaproteobacteria","SAMN07585966","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/586/745/GCA_002586745.1_ASM258674v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/586/745/GCA_002586745.1_ASM258674v1/GCA_002586745.1_ASM258674v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/586/745/GCA_002586745.1_ASM258674v1/GCA_002586745.1_ASM258674v1_protein.faa.gz"
"27336","Aeromonas sp. CA23",2033032,"Gammaproteobacteria","SAMN07585949","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/587/065/GCA_002587065.1_ASM258706v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/587/065/GCA_002587065.1_ASM258706v1/GCA_002587065.1_ASM258706v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/587/065/GCA_002587065.1_ASM258706v1/GCA_002587065.1_ASM258706v1_protein.faa.gz"
"1826","Leclercia adecarboxylata",83655,"Gammaproteobacteria","SAMN04158503","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/518/835/GCA_001518835.1_ASM151883v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/518/835/GCA_001518835.1_ASM151883v1/GCA_001518835.1_ASM151883v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/518/835/GCA_001518835.1_ASM151883v1/GCA_001518835.1_ASM151883v1_protein.faa.gz"
"2217","Pseudomonas chlororaphis",587753,"Gammaproteobacteria","SAMN02780900","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/865/GCA_000698865.1_ASM69886v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/865/GCA_000698865.1_ASM69886v1/GCA_000698865.1_ASM69886v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/865/GCA_000698865.1_ASM69886v1/GCA_000698865.1_ASM69886v1_protein.faa.gz"
"7318","Gilvimarinus polysaccharolyticus",863921,"Gammaproteobacteria","SAMN03445816","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/187/555/GCA_001187555.1_ASM118755v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/187/555/GCA_001187555.1_ASM118755v1/GCA_001187555.1_ASM118755v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/187/555/GCA_001187555.1_ASM118755v1/GCA_001187555.1_ASM118755v1_protein.faa.gz"
"7221","Photobacterium aquae",1195763,"Gammaproteobacteria","SAMN03702590","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/445/GCA_001029445.1_ASM102944v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/445/GCA_001029445.1_ASM102944v1/GCA_001029445.1_ASM102944v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/445/GCA_001029445.1_ASM102944v1/GCA_001029445.1_ASM102944v1_protein.faa.gz"
"7110","Arsukibacterium sp. MJ3",1632859,"Gammaproteobacteria","SAMN03418105","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/765/GCA_000987765.1_ASM98776v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/765/GCA_000987765.1_ASM98776v1/GCA_000987765.1_ASM98776v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/765/GCA_000987765.1_ASM98776v1/GCA_000987765.1_ASM98776v1_protein.faa.gz"
"27637","Janthinobacterium sp. B9-8",1236179,"Betaproteobacteria","SAMN03396709","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/645/GCA_000969645.2_ASM96964v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/645/GCA_000969645.2_ASM96964v2/GCA_000969645.2_ASM96964v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/645/GCA_000969645.2_ASM96964v2/GCA_000969645.2_ASM96964v2_protein.faa.gz"
"5401","Marinobacterium sp. AK27",1232683,"Gammaproteobacteria","SAMN02745957","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/705/555/GCA_000705555.1_MarKoc1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/705/555/GCA_000705555.1_MarKoc1.0/GCA_000705555.1_MarKoc1.0_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/705/555/GCA_000705555.1_MarKoc1.0/GCA_000705555.1_MarKoc1.0_protein.faa.gz"
"5444","Halomonas alkaliantarctica",232346,"Gammaproteobacteria","SAMN02691833","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/975/GCA_000712975.1_Version_1.2.07","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/975/GCA_000712975.1_Version_1.2.07/GCA_000712975.1_Version_1.2.07_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/975/GCA_000712975.1_Version_1.2.07/GCA_000712975.1_Version_1.2.07_protein.faa.gz"
"26939","Pseudoalteromonas agarivorans",176102,"Gammaproteobacteria","SAMN10233602","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/668/795/GCA_003668795.1_ASM366879v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/668/795/GCA_003668795.1_ASM366879v1/GCA_003668795.1_ASM366879v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/668/795/GCA_003668795.1_ASM366879v1/GCA_003668795.1_ASM366879v1_protein.faa.gz"
"2766","Vibrio breoganii",553239,"Gammaproteobacteria","SAMN04867928","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/275/GCA_001677275.1_ASM167727v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/275/GCA_001677275.1_ASM167727v1/GCA_001677275.1_ASM167727v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/275/GCA_001677275.1_ASM167727v1/GCA_001677275.1_ASM167727v1_protein.faa.gz"
"28848","Shewanella frigidimarina",56812,"Gammaproteobacteria","SAMN04413751","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/529/365/GCA_001529365.1_ASM152936v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/529/365/GCA_001529365.1_ASM152936v1/GCA_001529365.1_ASM152936v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/529/365/GCA_001529365.1_ASM152936v1/GCA_001529365.1_ASM152936v1_protein.faa.gz"
"29556","Pseudoalteromonas haloplanktis",228,"Gammaproteobacteria","SAMN04348898","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/924/935/GCA_001924935.1_ASM192493v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/924/935/GCA_001924935.1_ASM192493v1/GCA_001924935.1_ASM192493v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/924/935/GCA_001924935.1_ASM192493v1/GCA_001924935.1_ASM192493v1_protein.faa.gz"
"26339","Pseudoalteromonas distincta",77608,"Gammaproteobacteria","SAMN03220273","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/675/GCA_000814675.1_ASM81467v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/675/GCA_000814675.1_ASM81467v1/GCA_000814675.1_ASM81467v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/675/GCA_000814675.1_ASM81467v1/GCA_000814675.1_ASM81467v1_protein.faa.gz"
"29175","Pseudomonas aeruginosa PA7",381754,"Gammaproteobacteria","SAMN02603435","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/205/GCA_000017205.1_ASM1720v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/205/GCA_000017205.1_ASM1720v1/GCA_000017205.1_ASM1720v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/205/GCA_000017205.1_ASM1720v1/GCA_000017205.1_ASM1720v1_protein.faa.gz"
"406","Shewanella frigidimarina NCIMB 400",318167,"Gammaproteobacteria","SAMN02598301","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/705/GCA_000014705.1_ASM1470v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/705/GCA_000014705.1_ASM1470v1/GCA_000014705.1_ASM1470v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/705/GCA_000014705.1_ASM1470v1/GCA_000014705.1_ASM1470v1_protein.faa.gz"
