Name,Taxon_ID,Accession_Number,Length
Thalassolituus sp. CG17_big_fil_post_rev_8_21_14_2_50_53_8,1975553,PIQ39885.1,679
Sulfurimonas sp. CG23_combo_of_CG06-09_8_20_14_all_36_33,1975552,PIP11501.1,641
Aeromonas salmonicida,645,ATU97515.1,641
Comamonas sp. 26,2035201,WP_099737206.1,662
Pseudomonas sp. 382,1751969,PIK75038.1,648
Marinobacter sp. PWS21,2033727,WP_099615557.1,665
Pseudomonas sp. 2822-17,1712678,WP_099583886.1,648
Comamonas sp. 26,2035201,PIG09336.1,662
Desulfobulbus propionicus,894,PIE56076.1,654
Sulfuricurvum kujiense,148813,DAB38344.1,652
Sulfurospirillum sp. UBA12182,2015905,DAB33560.1,647
Sulfurospirillum sp. UBA11407,2015904,DAB31651.1,647
Pseudomonas sp. 2822-17,1712678,PIB64360.1,648
Aeromonas caviae,648,ATP90984.1,641
Pseudomonas putida,303,WP_099452577.1,648
Pseudomonas putida,303,WP_099428028.1,648
Pseudomonas putida,303,ATP47957.1,648
Pseudomonas putida,303,ATP42691.1,648
Chromobacterium violaceum,536,ATP34487.1,633
Chromobacterium violaceum,536,ATP30579.1,633
Aeromonas dhakensis,196024,PHS89453.1,641
Aeromonas dhakensis,196024,PHS84933.1,641
Sulfurimonas sp.,2022749,PHS58825.1,641
Methylophaga sp.,2024840,PHS31393.1,632
Methylophaga sp.,2024840,PHS24703.1,631
Kangiella sp.,1920245,PHS14746.1,718
Oceanobacter sp.,2030817,PHS01936.1,656
Methylophaga sp.,2024840,PHR79385.1,631
Arcobacter sp.,1872629,PHR56208.1,636
Cycloclasticus sp.,2024830,PHR50760.1,634
Desulfotalea sp.,2030813,PHR26134.1,653
Pseudoalteromonas sp.,53249,PHQ93819.1,668
Thalassobium sp.,2030825,PHQ88105.1,660
Sulfurimonas sp.,2022749,PHQ65969.1,641
Sulfurimonas sp.,2022749,PHQ64914.1,640
Marinobacter sp. PWS21,2033727,PHQ14202.1,665
Sulfuricurvum sp. PD_MW2,2027917,PHM16793.1,653
Aeromonas sp. CU5,2033033,WP_098969709.1,641
Pseudomonas putida,303,WP_098966539.1,648
Vibrio sp. ES.051,1761909,WP_098414418.1,637
Aeromonas sp. CA23,2033032,ATL99419.1,641
Aeromonas sp. CU5,2033033,ATL92954.1,641
Pseudomonas putida,303,PHH41774.1,648
Leclercia adecarboxylata,83655,PHH05291.1,648
Vibrio sp. ES.051,1761909,PFG58647.1,637
Pseudomonas putida,303,PEI08230.1,648
Pseudomonas chlororaphis,587753,WP_097306289.1,648
Pseudomonas,286,WP_097134082.1,648
Pseudomonas,286,WP_097089706.1,648
Orrella dioscoreae,1851544,SOE50293.1,647
Pseudoalteromonas sp. P1-13-1a,1723756,KPZ52446.1,652
Pseudoalteromonas sp. P1-25,1723758,KPZ51802.1,652
Pseudoalteromonas sp. P1-11,1715254,KPW05766.1,628
Pseudoalteromonas sp. P1-30,1723760,KPV91319.1,652
Pseudomonas aeruginosa,287,KPD31608.1,650
Pseudomonas aeruginosa,287,WP_053817421.1,650
Gilvimarinus polysaccharolyticus,863921,WP_049721306.1,636
Photobacterium aquae,1195763,KLV05530.1,684
Arsukibacterium sp. MJ3,1632859,WP_046553838.1,632
Arsukibacterium sp. MJ3,1632859,KKO48987.1,632
Janthinobacterium sp. B9-8,1236179,WP_046351625.1,641
Pseudomonas aeruginosa,287,WP_043098676.1,650
Marinobacterium sp. AK27,1232683,WP_036189689.1,637
Pseudomonas aeruginosa,287,WP_034082882.1,650
Alteromonas,226,WP_032095326.1,644
Pseudomonas sp. PT03(2014),1521400,AII19088.1,585
Halomonas alkaliantarctica,232346,WP_030071759.1,635
Pseudoalteromonas,53246,WP_029774508.1,652
Marinobacterium litorale,404770,WP_027852299.1,637
Marinobacterium sp. AK27,1232683,KEA62984.1,637
Arcobacter cibarius,255507,WP_024775927.1,738
Pseudoalteromonas sp. TB64,1938600,WP_024611942.1,652
Pseudoalteromonas sp. TAE56,1938596,WP_024598726.1,652
Pseudoalteromonas,53246,WP_024589973.1,651
Pseudoalteromonas agarivorans,176102,WP_024033059.1,652
Pseudoalteromonas agarivorans,176102,ETJ47421.1,652
Gilvimarinus chinensis,396005,WP_020210843.1,639
Oceanimonas smirnovii,264574,WP_019933331.1,640
Rheinheimera perlucida,368811,WP_019677396.1,632
Thioalkalivibrio sp. ALRh,1266911,WP_019592500.1,635
Caldimonas manganoxidans,196015,WP_019560204.1,634
Thioalkalivibrio,106633,WP_018139374.1,635
Vibrio breoganii,553239,WP_017028424.1,632
Pseudomonas aeruginosa,287,WP_012076421.1,650
Shewanella frigidimarina,56812,WP_011636845.1,696
Halomonas sp. TD01,999141,WP_009721724.1,635
Pseudoalteromonas haloplanktis,228,WP_002961330.1,651
Halomonas sp. TD01,999141,EGP21234.1,635
Pseudoalteromonas distincta,77608,EGI72332.1,651
Pseudomonas aeruginosa PA7,381754,ABR82438.1,650
Shewanella frigidimarina NCIMB 400,318167,ABI71224.1,696
Paracoccus sp. SY,1330255,WP_103172520.1,465
Methylomonas koyamae,702114,ATG90349.1,412
Gammaproteobacteria bacterium 13_2_20CM_66_19,1805166,OLB14943.1,446
Methylomonas koyamae,702114,WP_064041500.1,436
Methylomonas koyamae,702114,WP_064026896.1,436
Methylomonas sp. DH-1,1727196,WP_064021551.1,436
Methylomonas sp. DH-1,1727196,ANE55487.1,436
Methylomonas koyamae,702114,OAI26663.1,436
Methylomonas koyamae,702114,OAI13316.1,436
Pseudoalteromonas sp. 78C3,2058300,PKH93330.1,667
Pseudoalteromonas sp. GutCa3,888433,PKG70116.1,667
Pseudoalteromonas arctica,394751,PKG65935.1,667
Pseudomonas hunanensis,1247546,PKF22762.1,648
