"","organism","subgroup","level","RefSeq.FTP","tbl","prt"
"3105","Novosphingobium tardaugens NBRC 16725",4.29151,"SAMD00041832","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/945/GCA_000466945.1_ASM46694v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/945/GCA_000466945.1_ASM46694v1/GCA_000466945.1_ASM46694v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/945/GCA_000466945.1_ASM46694v1/GCA_000466945.1_ASM46694v1_protein.faa.gz"
"38454","Comamonas sp. SCN 65-56",3.59825,"SAMN03652438","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/724/135/GCA_001724135.1_ASM172413v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/724/135/GCA_001724135.1_ASM172413v1/GCA_001724135.1_ASM172413v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/724/135/GCA_001724135.1_ASM172413v1/GCA_001724135.1_ASM172413v1_protein.faa.gz"
"6076","Comamonadaceae bacterium A1",2.57401,"SAMD00000325","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/895/GCA_000828895.1_ASM82889v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/895/GCA_000828895.1_ASM82889v1/GCA_000828895.1_ASM82889v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/895/GCA_000828895.1_ASM82889v1/GCA_000828895.1_ASM82889v1_protein.faa.gz"
"4003","Grimontia indica",5.55559,"SAMN01940370","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/333/895/GCA_000333895.2_ASM33389v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/333/895/GCA_000333895.2_ASM33389v2/GCA_000333895.2_ASM33389v2_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/333/895/GCA_000333895.2_ASM33389v2/GCA_000333895.2_ASM33389v2_protein.faa.gz"
"3057","Pseudomonas plecoglossicida",6.23325,"SAMN03256214","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/585/GCA_000831585.1_ASM83158v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/585/GCA_000831585.1_ASM83158v1/GCA_000831585.1_ASM83158v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/585/GCA_000831585.1_ASM83158v1/GCA_000831585.1_ASM83158v1_protein.faa.gz"
"29451","Marinobacter hydrocarbonoclasticus",4.21927,"SAMN05447431","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/225/GCA_001895225.1_ASM189522v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/225/GCA_001895225.1_ASM189522v1/GCA_001895225.1_ASM189522v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/225/GCA_001895225.1_ASM189522v1/GCA_001895225.1_ASM189522v1_protein.faa.gz"
"25570","Pectobacterium parmentieri",5.16441,"SAMN02604188","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/925/GCA_000260925.1_ASM26092v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/925/GCA_000260925.1_ASM26092v1/GCA_000260925.1_ASM26092v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/925/GCA_000260925.1_ASM26092v1/GCA_000260925.1_ASM26092v1_protein.faa.gz"
"20728","Pectobacterium polaris",5.00842,"SAMN05853907","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/545/GCA_002288545.1_ASM228854v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/545/GCA_002288545.1_ASM228854v1/GCA_002288545.1_ASM228854v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/545/GCA_002288545.1_ASM228854v1/GCA_002288545.1_ASM228854v1_protein.faa.gz"
"36063","Pseudomonas fluorescens",6.06446,"SAMN02900729","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/425/GCA_000730425.1_ASM73042v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/425/GCA_000730425.1_ASM73042v1/GCA_000730425.1_ASM73042v1_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/425/GCA_000730425.1_ASM73042v1/GCA_000730425.1_ASM73042v1_protein.faa.gz"
"24683","Shewanella algidipiscicola",4.13838,"SAMEA4591064","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/380/485/GCA_900380485.1_ERP106791_PRJEB24924","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/380/485/GCA_900380485.1_ERP106791_PRJEB24924/GCA_900380485.1_ERP106791_PRJEB24924_feature_table.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/380/485/GCA_900380485.1_ERP106791_PRJEB24924/GCA_900380485.1_ERP106791_PRJEB24924_protein.faa.gz"
